t_index    term   df
0e1f98f6   behari   3
65970dbe   behav   9
2de61cbc   behavior   11
28d727a6   beholden   3
e7bb044e   beij   4
999b057f   beirut   10
7cd980e2   bekki   3
1f1370f3   belaru   1
0cc00269   belch   1
f786db61   beleagu   3
a1658851   belgian   8
c2f9be09   belgium   7
b6ea246f   belgrad   336
4b7d7ad4   beli   1
3efe2757   belida   6
e76f799b   belief   19
97b468d7   believ   445
ac6b96f3   belittl   1
2016bfc3   bell   4
70297cca   belliger   1
c385c863   belong   35
8dd9f1d6   belov   5
e820a6a9   belt   8
2f516b20   bema   2
53d2eb20   bemoan   1
53b6e760   ben   8
0299b36a   bench   6
3a879935   benchmark   1
97654545   bend   2
8ed0a7ec   beneath   34
df15c3ba   benefactor   2
f7153a99   benefici   1
8a750a13   beneficiari   2
3bef959d   benefit   20
25aed00f   benevol   7
893499a1   benign   1
ed098f5a   benin   8
feede2c7   benito   1
caf82d0c   benjamin   2
e208450b   bennett   1
92270773   benni   2
e7be5409   bent   13
08c5243e   benton   1
ecb6dc79   bequeath   1
4d5971a7   berat   1
c881b99e   bere   1
4667d6c9   beresich   3
e37c9137   beretta   1
00dc7679   bergen   1
149c6b00   berger   52
4a2fb6ba   berlin   9
dd356c04   bernstein   2
8787e26f   bershard   1
c7d12c3b   bershevski   1
3f620059   berth   2
7b3c62b8   beschloss   1
63d48de3   beset   2
e86df060   besid   29
9239c48d   besieg   4
613bfe92   bespectacl   2
f5bb7c03   bet   5
b2486b68   beta   18
bdb8a24a   beth   1
9b1fcaf9   betrai   2
ebc4dbb5   betray   2
2a287e41   betrisia   1
f7e688c3   bevan   8
fdcba4b8   beveneari   1
c0d123a4   bewild   1
c4c5dfc8   bhaba   2
622527cd   bhachau   4
ca8cbae0   bhagat   2
9391a535   bhakta   7
c2b05ce5   bharatiya   3
4d5d1e44   bharpi   3
4dad1d26   bhaskar   5
6cf9acbc   bhat   2
6a518c66   bhatt   1
6ffcab5f   bhavesh   3
e829ac49   bhowmik   1
7fbe8ba8   bhug   1
